feature,importance
sleep_hours,0.13952684521004685
steps,0.13619025580629568
steps_per_active_minute,0.12617035743306526
active_minutes,0.09966095192355487
water_intake_liters,0.092901377093261
height_cm,0.06278425599246872
heart_rate,0.05919146939913792
weight_kg,0.04704686582375678
age,0.04164986192696944
bmi,0.035347241911099406
month_9,0.024437934517871192
month_2,0.02221846491343202
gender_Male,0.022020927227145565
stress_level,0.021096602865437537
day_of_week_4,0.0185118298005569
day_of_week_1,0.014689836034432035
mood_Sad,0.012070850989485774
workout_type_Yoga,0.0064969892586479085
mood_Neutral,0.004399433781695201
month_5,0.003196100629598696
gender_Other,0.0031248652616327074
activity_level_active,0.0028462341988038176
mood_Happy,0.0021427165550625387
workout_type_Strength,0.001198327247445402
month_6,0.001079404199096777
activity_level_moderate,0.0
activity_level_low,0.0
month_11,0.0
month_10,0.0
gender_Female,0.0
month_8,0.0
month_7,0.0
month_12,0.0
month_3,0.0
month_4,0.0
month_1,0.0
day_of_week_6,0.0
day_of_week_5,0.0
workout_type_Cardio,0.0
day_of_week_3,0.0
day_of_week_2,0.0
day_of_week_0,0.0
mood_Stressed,0.0
activity_level_very_active,0.0
