feature,importance
total_absolute_amount_rolling_3m,0.50910026
positive_amount_rolling_3m,0.21270873
total_absolute_amount,0.041241597
positive_amount,0.024561392
total_signed_amount,0.017582316
total_absolute_amount_lag_1,0.014716124
month_2010-01,0.010103117
negative_transaction_count,0.0046987254
negative_amount_rolling_3m,0.0037065174
month_2016-05,0.0032493216
month_2011-01,0.0025736077
month_2018-01,0.0025199223
month_2012-01,0.0024997925
month_2015-01,0.0024845432
month_2012-03,0.0024101054
month_2014-01,0.002409085
month_2017-01,0.0023956955
month_2016-01,0.0023181061
month_2013-01,0.002232769
month_2016-09,0.0021170015
transaction_count_rolling_3m,0.0021034472
month_2013-11,0.0020757136
positive_amount_lag_1,0.0020190817
month_2015-04,0.0020077692
month_2013-04,0.0020076344
month_2011-10,0.001856576
month_2010-07,0.0018452487
month_2010-09,0.0018435605
month_2015-02,0.0018297891
month_2010-10,0.001821123
month_2012-09,0.0018070752
month_2015-10,0.0018002437
month_2012-10,0.001768495
month_2013-12,0.0017630496
month_2017-08,0.0017067669
month_2016-08,0.0016875413
month_2012-05,0.0016869571
month_2017-09,0.0016815499
transaction_count_lag_1,0.0016749006
month_2018-07,0.0016579131
month_2013-06,0.0016379878
month_2013-05,0.001628829
month_2010-05,0.0016243703
month_2017-12,0.0015658498
month_2011-12,0.0015599638
month_2015-07,0.0015515502
transaction_count,0.0015181811
month_2010-12,0.0015169543
month_2011-09,0.0014856735
month_2018-08,0.0014825498
average_transaction_amount,0.0014740776
negative_amount,0.0014489618
month_2013-10,0.001444374
month_2014-09,0.001433683
month_2012-07,0.0014210832
month_2014-06,0.0014042014
month_2014-08,0.0013987934
month_2015-05,0.0013855507
month_2010-02,0.0013758276
month_2012-02,0.001373212
month_2013-08,0.0013623445
month_2014-10,0.0013548583
month_2010-04,0.0013514217
month_2017-10,0.0013402584
month_2012-08,0.001333662
month_2014-07,0.0013330352
month_2017-07,0.0013287002
positive_transaction_count,0.0013250039
month_2013-02,0.0013249832
month_2014-12,0.0013212693
unique_merchants,0.0013083883
negative_amount_lag_1,0.0012923606
month_2012-06,0.0012825415
month_2010-03,0.001260872
month_2016-10,0.0012548225
month_2018-02,0.0012518106
month_2014-11,0.0012506052
month_2017-06,0.0012447549
month_2018-10,0.0012327004
month_2013-03,0.0012321302
month_2013-07,0.0012182008
unique_cards,0.0012116021
month_2015-12,0.0012103162
month_2017-03,0.0012093512
month_2016-03,0.0012002275
month_2010-06,0.0011796934
month_2015-08,0.0011784665
month_2011-02,0.0011605239
month_2011-03,0.0011532381
month_2014-04,0.0011500758
month_2015-06,0.001149581
month_2015-03,0.0011448364
month_2018-06,0.0011015092
month_2017-04,0.0010977966
month_2011-05,0.0010952607
month_2010-08,0.0010835808
month_2017-02,0.0010831755
month_2016-06,0.0010759244
month_2016-12,0.0010516441
month_2011-06,0.0010486951
error_count,0.0010458508
month_2014-03,0.0010309002
month_2011-07,0.0010231116
month_2018-04,0.0010173005
month_2011-08,0.001016591
month_2013-09,0.0010018863
month_2016-02,0.0009752379
month_2018-05,0.00096511765
month_2014-02,0.0009538833
month_2015-09,0.000939852
month_2010-11,0.00087360496
month_2015-11,0.000851885
month_2018-03,0.0008452736
month_2016-11,0.00077922625
month_2014-05,0.0007496662
month_2018-09,0.000735642
month_2017-11,0.0007334576
month_2011-04,0.0007136959
month_2012-04,0.00069051527
month_2012-12,0.0006895942
month_2017-05,0.00058260286
month_2016-07,0.00050756335
month_2016-04,0.00048239593
month_2012-11,0.0
month_2011-11,0.0
