feature,importance,importance_percent
sleep_hours,0.45048403431591844,45.0484
bmi_category,0.17986765221203838,17.9868
age,0.12313415050840987,12.3134
lifestyle_risk_score,0.11844736067263244,11.8447
daily_steps,0.05917150930852463,5.9172
sleep_quality,0.02412504926556624,2.4125
occupation,0.017697427947076065,1.7697
blood_pressure,0.015549639722045133,1.555
activity_sleep_balance,0.005564258260219274,0.5564
heart_rate,0.0036877640677673326,0.3688
physical_activity_level,0.0013638111094370876,0.1364
gender,0.0007733713607865992,0.0773
stress_level,0.0001339712495784524,0.0134
